female,read,write,math,lgwrite,lgmath
"male",57,52,41,3.951244,3.713572
"female",68,59,53,4.077538,3.970292
"male",44,33,54,3.496508,3.988984
"male",63,44,47,3.78419,3.850147
"male",47,52,57,3.951244,4.043051
"male",44,52,51,3.951244,3.931826
"male",50,59,42,4.077538,3.73767
"male",34,46,45,3.828641,3.806663
"male",63,57,54,4.043051,3.988984
"male",57,55,52,4.007333,3.951244
"male",60,46,51,3.828641,3.931826
"male",57,65,51,4.174387,3.931826
"male",73,60,71,4.094345,4.26268
"male",54,63,57,4.143135,4.043051
"male",45,57,50,4.043051,3.912023
"male",42,49,43,3.89182,3.7612
"male",47,52,51,3.951244,3.931826
"male",57,57,60,4.043051,4.094345
"male",68,65,62,4.174387,4.127134
"male",55,39,57,3.663562,4.043051
"male",63,49,35,3.89182,3.555348
"male",63,63,75,4.143135,4.317488
"male",50,40,45,3.688879,3.806663
"male",60,52,57,3.951244,4.043051
"male",37,44,45,3.78419,3.806663
"male",34,37,46,3.610918,3.828641
"male",65,65,66,4.174387,4.189655
"male",47,57,57,4.043051,4.043051
"male",44,38,49,3.637586,3.89182
"male",52,44,49,3.78419,3.89182
"male",42,31,57,3.433987,4.043051
"male",76,52,64,3.951244,4.158883
"male",65,67,63,4.204693,4.143135
"male",42,41,57,3.713572,4.043051
"male",52,59,50,4.077538,3.912023
"male",60,65,58,4.174387,4.060443
"male",68,54,75,3.988984,4.317488
"male",65,62,68,4.127134,4.219508
"male",47,31,44,3.433987,3.78419
"male",39,31,40,3.433987,3.688879
"male",47,47,41,3.850147,3.713572
"male",55,59,62,4.077538,4.127134
"male",52,54,57,3.988984,4.043051
"male",42,41,43,3.713572,3.7612
"male",65,65,48,4.174387,3.871201
"male",55,59,63,4.077538,4.143135
"male",50,40,39,3.688879,3.663562
"male",65,59,70,4.077538,4.248495
"male",47,59,63,4.077538,4.143135
"male",57,54,59,3.988984,4.077538
"male",53,61,61,4.110874,4.110874
"male",39,33,38,3.496508,3.637586
"male",44,44,61,3.78419,4.110874
"male",63,59,49,4.077538,3.89182
"male",73,62,73,4.127134,4.29046
"male",39,39,44,3.663562,3.78419
"male",37,37,42,3.610918,3.73767
"male",42,39,39,3.663562,3.663562
"male",63,57,55,4.043051,4.007333
"male",48,49,52,3.89182,3.951244
"male",50,46,45,3.828641,3.806663
"male",47,62,61,4.127134,4.110874
"male",44,44,39,3.78419,3.663562
"male",34,33,41,3.496508,3.713572
"male",50,42,50,3.73767,3.912023
"male",44,41,40,3.713572,3.688879
"male",60,54,60,3.988984,4.094345
"male",47,39,47,3.663562,3.850147
"male",63,43,59,3.7612,4.077538
"male",50,33,49,3.496508,3.89182
"male",44,44,46,3.78419,3.828641
"male",60,54,58,3.988984,4.060443
"male",73,67,71,4.204693,4.26268
"male",68,59,58,4.077538,4.060443
"male",55,45,46,3.806663,3.828641
"male",47,40,43,3.688879,3.7612
"male",55,61,54,4.110874,3.988984
"male",68,59,56,4.077538,4.025352
"male",31,36,46,3.583519,3.828641
"male",47,41,54,3.713572,3.988984
"male",63,59,57,4.077538,4.043051
"male",36,49,54,3.89182,3.988984
"male",68,59,71,4.077538,4.26268
"male",63,65,48,4.174387,3.871201
"male",55,41,40,3.713572,3.688879
"male",55,62,64,4.127134,4.158883
"male",52,41,51,3.713572,3.931826
"male",34,49,39,3.89182,3.663562
"male",50,31,40,3.433987,3.688879
"male",55,49,61,3.89182,4.110874
"male",52,62,66,4.127134,4.189655
"male",63,49,49,3.89182,3.89182
"female",68,62,65,4.127134,4.174387
"female",39,44,52,3.78419,3.951244
"female",44,44,46,3.78419,3.828641
"female",50,62,61,4.127134,4.110874
"female",71,65,72,4.174387,4.276666
"female",63,65,71,4.174387,4.26268
"female",34,44,40,3.78419,3.688879
"female",63,63,69,4.143135,4.234107
"female",68,60,64,4.094345,4.158883
"female",47,59,56,4.077538,4.025352
"female",47,46,49,3.828641,3.89182
"female",63,52,54,3.951244,3.988984
"female",52,59,53,4.077538,3.970292
"female",55,54,66,3.988984,4.189655
"female",60,62,67,4.127134,4.204693
"female",35,35,40,3.555348,3.688879
"female",47,54,46,3.988984,3.828641
"female",71,65,69,4.174387,4.234107
"female",57,52,40,3.951244,3.688879
"female",44,50,41,3.912023,3.713572
"female",65,59,57,4.077538,4.043051
"female",68,65,58,4.174387,4.060443
"female",73,61,57,4.110874,4.043051
"female",36,44,37,3.78419,3.610918
"female",43,54,55,3.988984,4.007333
"female",73,67,62,4.204693,4.127134
"female",52,57,64,4.043051,4.158883
"female",41,47,40,3.850147,3.688879
"female",60,54,50,3.988984,3.912023
"female",50,52,46,3.951244,3.828641
"female",50,52,53,3.951244,3.970292
"female",47,46,52,3.828641,3.951244
"female",47,62,45,4.127134,3.806663
"female",55,57,56,4.043051,4.025352
"female",50,41,45,3.713572,3.806663
"female",39,53,54,3.970292,3.988984
"female",50,49,56,3.89182,4.025352
"female",34,35,41,3.555348,3.713572
"female",57,59,54,4.077538,3.988984
"female",57,65,72,4.174387,4.276666
"female",68,62,56,4.127134,4.025352
"female",42,54,47,3.988984,3.850147
"female",61,59,49,4.077538,3.89182
"female",76,63,60,4.143135,4.094345
"female",47,59,54,4.077538,3.988984
"female",46,52,55,3.951244,4.007333
"female",39,41,33,3.713572,3.496508
"female",52,49,49,3.89182,3.89182
"female",28,46,43,3.828641,3.7612
"female",42,54,50,3.988984,3.912023
"female",47,42,52,3.73767,3.951244
"female",47,57,48,4.043051,3.871201
"female",52,59,58,4.077538,4.060443
"female",47,52,43,3.951244,3.7612
"female",50,62,41,4.127134,3.713572
"female",44,52,43,3.951244,3.7612
"female",47,41,46,3.713572,3.828641
"female",45,55,44,4.007333,3.78419
"female",47,37,43,3.610918,3.7612
"female",65,54,61,3.988984,4.110874
"female",43,57,40,4.043051,3.688879
"female",47,54,49,3.988984,3.89182
"female",57,62,56,4.127134,4.025352
"female",68,59,61,4.077538,4.110874
"female",52,55,50,4.007333,3.912023
"female",42,57,51,4.043051,3.931826
"female",42,39,42,3.663562,3.73767
"female",66,67,67,4.204693,4.204693
"female",47,62,53,4.127134,3.970292
"female",57,50,50,3.912023,3.912023
"female",47,61,51,4.110874,3.931826
"female",57,62,72,4.127134,4.276666
"female",52,59,48,4.077538,3.871201
"female",44,44,40,3.78419,3.688879
"female",50,59,53,4.077538,3.970292
"female",39,54,39,3.988984,3.663562
"female",57,62,63,4.127134,4.143135
"female",57,60,51,4.094345,3.931826
"female",42,57,45,4.043051,3.806663
"female",47,46,39,3.828641,3.663562
"female",42,36,42,3.583519,3.73767
"female",60,59,62,4.077538,4.127134
"female",44,49,44,3.89182,3.78419
"female",63,60,65,4.094345,4.174387
"female",65,67,63,4.204693,4.143135
"female",39,54,54,3.988984,3.988984
"female",50,52,45,3.951244,3.806663
"female",52,65,60,4.174387,4.094345
"female",60,62,49,4.127134,3.89182
"female",44,49,48,3.89182,3.871201
"female",52,67,57,4.204693,4.043051
"female",55,65,55,4.174387,4.007333
"female",50,67,66,4.204693,4.189655
"female",65,65,64,4.174387,4.158883
"female",52,54,55,3.988984,4.007333
"female",47,44,42,3.78419,3.73767
"female",63,62,56,4.127134,4.025352
"female",50,46,53,3.828641,3.970292
"female",42,54,41,3.988984,3.713572
"female",36,57,42,4.043051,3.73767
"female",50,52,53,3.951244,3.970292
"female",41,59,42,4.077538,3.73767
"female",47,65,60,4.174387,4.094345
"female",55,59,52,4.077538,3.951244
"female",42,46,38,3.828641,3.637586
"female",57,41,57,3.713572,4.043051
"female",55,62,58,4.127134,4.060443
"female",63,65,65,4.174387,4.174387
